__________________________________________________
Iteration   Train.Loss (MSE)     Time (in sec)    
   457           0.313               0.141        
   458           0.227               0.125        
   459           0.283               0.141        
   460           0.390               0.125        
   461           0.472               0.125        
   462           0.335               0.141        
   463           0.307               0.125        
   464           0.154               0.141        
   465           0.248               0.125        
   466           0.338               0.141        
   467           0.335               0.141        
   468           0.262               0.125        
   469           0.333               0.141        
   470           0.200               0.125        
   471           0.247               0.141        
   472           0.245               0.141        
   473           0.277               0.125        
   474           0.274               0.141        
   475           0.213               0.125        
   476           0.358               0.141        
   477           0.246               0.141        
   478           0.316               0.125        
   479           0.285               0.141        
   480           0.280               0.125        
   481           0.246               0.141        
   482           0.236               0.125        
   483           0.237               0.125        
   484           0.301               0.141        
   485           0.330               0.125        
   486           0.200               0.141        
   487           0.296               0.125        
   488           0.232               0.125        
   489           0.236               0.141        
   490           0.308               0.125        
   491           0.320               0.141        
   492           0.262               0.125        
   493           0.210               0.125        
   494           0.309               0.141        
   495           0.474               0.125        
   496           0.230               0.141        
   497           0.431               0.125        
   498           0.207               0.141        
   499           0.294               0.141        
   500           0.202               0.125        
   501           0.182               0.141        
   502           0.364               0.125        
   503           0.284               0.141        
   504           0.297               0.125        
   505           0.416               0.141        
   506           0.308               0.125        
   507           0.322               0.125        
   508           0.298               0.141        
   509           0.376               0.125        
   510           0.280               0.141        
   511           0.293               0.125        
   512           0.353               0.125        
   513           0.215               0.141        
   514           0.207               0.125        
   515           0.309               0.141        
   516           0.259               0.125        
   517           0.302               0.141        
   518           0.290               0.141        
   519           0.355               0.125        
   520           0.257               0.141        
   521           0.337               0.125        
   522           0.226               0.141        
   523           0.253               0.141        
   524           0.517               0.125        
   525           0.148               0.141        
   526           0.173               0.125        
   527           0.216               0.141        
   528           0.190               0.141        
   529           0.310               0.125        
   530           0.221               0.141        
   531           0.199               0.125        
   532           0.240               0.141        
   533           0.159               0.125        
   534           0.195               0.125        
   535           0.373               0.141        
   536           0.231               0.125        
   537           0.590               0.141        
   538           0.203               0.125        
   539           0.321               0.141        
   540           0.441               0.141        
   541           0.546               0.125        
   542           0.392               0.141        
   543           0.331               0.125        
   544           0.361               0.141        
   545           0.360               0.141        
   546           0.350               0.125        
   547           0.263               0.141        
   548           0.325               0.125        
   549           0.357               0.141        
   550           0.456               0.125        
   551           0.239               0.125        
   552           0.331               0.141        
   553           0.292               0.125        
   554           0.289               0.141        
   555           0.230               0.125        
   556           0.285               0.125        
   557           0.262               0.141        
   558           0.249               0.125        
   559           0.212               0.141        
   560           0.272               0.125        
   561           0.275               0.141        
   562           0.173               0.141        
   563           0.593               0.125        
   564           0.199               0.141        
   565           0.272               0.125        
   566           0.288               0.141        
   567           0.301               0.141        
   568           0.337               0.125        
   569           0.280               0.141        
   570           0.213               0.125        
   571           0.384               0.141        
   572           0.266               0.141        
   573           0.195               0.125        
   574           0.193               0.141        
   575           0.264               0.125        
   576           0.229               0.141        
   577           0.558               0.141        
   578           0.220               0.125        
   579           0.306               0.141        
   580           0.292               0.125        
   581           0.366               0.141        
   582           0.352               0.125        
   583           0.272               0.125        
   584           0.279               0.141        
   585           0.319               0.125        
   586           0.315               0.141        
   587           0.262               0.125        
   588           0.289               0.141        
   589           0.359               0.141        
   590           0.256               0.125        
   591           0.185               0.141        
   592           0.193               0.125        
   593           0.301               0.141        
   594           0.194               0.141        
   595           0.394               0.125        
   596           0.227               0.141        
   597           0.275               0.125        
   598           0.340               0.141        
   599           0.248               0.141        
   600           0.219               0.125        
   601           0.197               0.141        
   602           0.284               0.125        
   603           0.247               0.141        
   604           0.349               0.141        
   605           0.251               0.125        
   606           0.266               0.141        
   607           0.288               0.125        
   608           0.251               0.141        
   609           0.282               0.125        
   610           0.313               0.125        
   611           0.239               0.141        
   612           0.419               0.125        
   613           0.285               0.141        
   614           0.262               0.125        
   615           0.305               0.125        
   616           0.369               0.141        
   617           0.236               0.125        
   618           0.362               0.141        
   619           0.216               0.125        
   620           0.326               0.141        
   621           0.219               0.141        
   622           0.375               0.125        
   623           0.424               0.141        
   624           0.329               0.125        
   625           0.264               0.141        
   626           0.373               0.125        
   627           0.365               0.141        
   628           0.228               0.141        
   629           0.251               0.125        
   630           0.473               0.141        
   631           0.313               0.125        
   632           0.299               0.125        
   633           0.237               0.141        
   634           0.271               0.125        
   635           0.644               0.141        
   636           0.267               0.141        
   637           0.198               0.125        
   638           0.393               0.141        
   639           0.300               0.125        
   640           0.254               0.125        
   641           0.248               0.141        
   642           0.261               0.125        
   643           0.270               0.141        
   644           0.237               0.141        
   645           0.365               0.125        
   646           0.216               0.141        
   647           0.303               0.125        
   648           0.151               0.141        
   649           0.257               0.141        
   650           0.241               0.125        
   651           0.259               0.141        
   652           0.151               0.141        
   653           0.303               0.125        
   654           0.291               0.141        
   655           0.374               0.125        
   656           0.351               0.141        
   657           0.176               0.141        
   658           0.346               0.125        
   659           0.273               0.141        
   660           0.278               0.141        
   661           0.253               0.125        
   662           0.158               0.141        
   663           0.243               0.125        
   664           0.206               0.141        
   665           0.284               0.141        
   666           0.311               0.125        
   667           0.318               0.141        
   668           0.294               0.141        
   669           0.291               0.125        
   670           0.340               0.141        
   671           0.216               0.125        
   672           0.345               0.141        
   673           0.314               0.141        
   674           0.294               0.125        
   675           0.295               0.141        
   676           0.390               0.141        
   677           0.285               0.125        
   678           0.532               0.141        
   679           0.322               0.125        
   680           0.191               0.141        
   681           0.266               0.141        
   682           0.330               0.125        
   683           0.244               0.141        
   684           0.305               0.141        
   685           0.276               0.125        
   686           0.319               0.141        
   687           0.403               0.125        
   688           0.188               0.141        
   689           0.184               0.141        
   690           0.281               0.125        
   691           0.231               0.141        
   692           0.432               0.141        
   693           0.310               0.125        
   694           0.281               0.141        
   695           0.297               0.125        
   696           0.356               0.141        
   697           0.341               0.141        
   698           0.363               0.125        
   699           0.358               0.141        
   700           0.519               0.125        
   701           0.265               0.125        
   702           0.271               0.141        
   703           0.181               0.125        
   704           0.508               0.141        
   705           0.272               0.141        
   706           0.277               0.125        
   707           0.276               0.141        
   708           0.314               0.141        
   709           0.190               0.125        
   710           0.335               0.141        
   711           0.271               0.125        
   712           0.263               0.141        
   713           0.327               0.141        
   714           0.277               0.125        
   715           0.374               0.141        
   716           0.315               0.141        
   717           0.249               0.125        
   718           0.177               0.141        
   719           0.283               0.125        
   720           0.297               0.141        
   721           0.239               0.141        
   722           0.260               0.125        
   723           0.229               0.141        
   724           0.255               0.125        
   725           0.275               0.125        
   726           0.298               0.141        
   727           0.219               0.125        
   728           0.231               0.141        
   729           0.217               0.141        
   730           0.211               0.125        
