__________________________________________________
Iteration   Train.Loss (MSE)     Time (in sec)    
   840           0.125               0.125        
   841           0.172               0.141        
   842           0.091               0.141        
   843           0.119               0.125        
   844           0.157               0.141        
   845           0.132               0.125        
   846           0.138               0.141        
   847           0.067               0.141        
   848           0.091               0.125        
   849           0.173               0.141        
   850           0.163               0.125        
   851           0.083               0.141        
   852           0.081               0.141        
   853           0.242               0.125        
   854           0.097               0.141        
   855           0.188               0.125        
   856           0.160               0.141        
   857           0.205               0.141        
   858           0.109               0.125        
   859           0.122               0.141        
   860           0.201               0.125        
   861           0.125               0.141        
   862           0.225               0.141        
   863           0.127               0.125        
   864           0.108               0.141        
   865           0.154               0.125        
   866           0.213               0.141        
   867           0.156               0.125        
   868           0.076               0.125        
   869           0.128               0.141        
   870           0.119               0.125        
   871           0.118               0.141        
   872           0.090               0.125        
   873           0.120               0.125        
   874           0.206               0.141        
   875           0.160               0.125        
   876           0.190               0.141        
   877           0.139               0.125        
   878           0.197               0.125        
   879           0.259               0.141        
   880           0.140               0.125        
   881           0.181               0.141        
